iter	Logloss	Accuracy
0	0.6328187305	0.7843147322
1	0.5916727586	0.7850685174
2	0.5631091077	0.7853952355
3	0.5423678536	0.7851315274
4	0.5278912786	0.7851548644
5	0.5173598616	0.7856729459
6	0.5098639161	0.7855936001
7	0.5044835951	0.7860766761
8	0.5000881682	0.7859529899
9	0.4968079559	0.7861210164
10	0.4940036074	0.7865130781
11	0.4918561173	0.7866157609
12	0.4901244188	0.78648274
13	0.4876946595	0.7877359371
14	0.4860898805	0.788415044
15	0.4849283747	0.788741762
16	0.4836016616	0.7892668447
17	0.4826005826	0.7893205198
18	0.4816928473	0.7894138678
19	0.4809147366	0.7897452533
20	0.4802364171	0.7900579691
21	0.4795398188	0.7901933237
22	0.4785147771	0.7910311222
23	0.4778854691	0.7910614603
24	0.4772265042	0.7912248194
25	0.4765032738	0.7914651905
26	0.475351046	0.7917055617
27	0.474748524	0.7918759218
28	0.4741655885	0.7920206112
29	0.4737156899	0.7922866531
30	0.4730327806	0.792576032
31	0.4726562054	0.7927977335
32	0.4722698733	0.7929097511
33	0.4719000834	0.7931104494
34	0.4713461038	0.7934208315
35	0.4709174746	0.7935071785
36	0.470493757	0.7936658701
37	0.4695582578	0.7941699494
38	0.468757714	0.7947533745
39	0.468404183	0.7948630585
40	0.4679917107	0.7949844109
41	0.4676216785	0.7950870937
42	0.4670755514	0.7952551201
43	0.4666442736	0.795357803
44	0.4657622849	0.796097586
45	0.465209916	0.7963192876
46	0.4647404862	0.7964476411
47	0.4643043763	0.7966950133
48	0.4637672962	0.7969423856
49	0.4634181386	0.7971384164
50	0.4625563521	0.7974137931
51	0.4621459767	0.7975771521
52	0.461821893	0.797866531
53	0.461268995	0.7983566081
54	0.4609485893	0.7984219517
55	0.4604866382	0.7986996621
56	0.4602333568	0.7987976775
57	0.4598739865	0.7989470343
58	0.4594732995	0.7991080597
59	0.4591033901	0.7992317458
60	0.4587636872	0.7993367623
61	0.4585340405	0.7994441125
62	0.4582634367	0.7996331423
63	0.4578131901	0.7998851819
64	0.4574307595	0.800048541
65	0.4571279459	0.8001698934
66	0.4568645989	0.800258574
67	0.4561072895	0.8008770046
68	0.4555192741	0.801178052
69	0.4551727113	0.8012970707
70	0.4548511331	0.8013787503
71	0.4543736728	0.801707802
72	0.4540774677	0.8018361556
73	0.4536866474	0.8021325355
74	0.4533229682	0.8024429177
75	0.4529711001	0.8025666038
76	0.4526578913	0.8027019584
77	0.4524091553	0.8028186435
78	0.4521062939	0.8029306611
79	0.4517252554	0.80322004
80	0.4514766959	0.8033507272
81	0.4512838036	0.803430073
82	0.451078852	0.8034837481
83	0.4508981792	0.8035537591
84	0.4505774143	0.8037287867
85	0.4502776978	0.8038711424
86	0.4500388916	0.8039434871
87	0.4498084015	0.8040695069
88	0.4495317323	0.8042538693
89	0.4492675121	0.8043378825
90	0.4488987485	0.804669268
91	0.4486475656	0.8047486138
92	0.4483499796	0.8049469783
93	0.4479922562	0.8050263241
94	0.447753372	0.8051080037
95	0.4475220885	0.8052363572
96	0.4472573203	0.8053997162
97	0.4470672734	0.8055514068
98	0.4467088245	0.8056330863
99	0.4464524791	0.8057170995
100	0.4461946677	0.8058267834
101	0.4459348051	0.8059644717
102	0.4457091413	0.806071822
103	0.4455250687	0.8061768385
104	0.4453210025	0.8063075257
105	0.4450802198	0.8064358792
106	0.4448978468	0.8065268936
107	0.4446789671	0.8066599145
108	0.444383262	0.8067509288
109	0.44419368	0.8068676138
110	0.4438822471	0.8069399586
111	0.4436673374	0.8070683121
112	0.442790355	0.8077450852
113	0.4425953581	0.8078711051
114	0.4423312626	0.8079154454
115	0.4420804998	0.8080811381
116	0.4418844772	0.808120811
117	0.4404725256	0.8082725015
118	0.4398964756	0.8087415753
119	0.4390268657	0.8092199839
120	0.4388230134	0.8093063309
121	0.4386273506	0.8094230159
122	0.4384247653	0.8094626888
