iter	Passed	Remaining
0	290	86786
1	578	86147
2	842	83443
3	1124	83220
4	1407	83029
5	1687	82696
6	1982	82989
7	2223	81159
8	2511	81202
9	2793	81023
10	3064	80519
11	3335	80041
12	3619	79906
13	3895	79589
14	4243	80629
15	4750	84317
16	5215	86827
17	5641	88387
18	6082	89951
19	6449	90298
20	6868	91253
21	7196	90931
22	7580	91296
23	8034	92396
24	8466	93131
25	8795	92686
26	9083	91844
27	9398	91296
28	9843	91988
29	10231	92082
30	10532	91397
31	10904	91324
32	11356	91880
33	11643	91097
34	11926	90300
35	12339	90486
36	12603	89584
37	12885	88842
38	13190	88273
39	13491	87695
40	13763	86944
41	14017	86106
42	14293	85430
43	14586	84867
44	14847	84138
45	15123	83507
46	15413	82968
47	15676	82300
48	15974	81830
49	16250	81253
50	16502	80569
51	16764	79952
52	17058	79497
53	17338	78986
54	17624	78510
55	17897	77983
56	18230	77719
57	18629	77728
58	18927	77312
59	19231	76924
60	19653	77004
61	20154	77367
62	20638	77639
63	21061	77664
64	21459	77585
65	21768	77178
66	22272	77454
67	22661	77316
68	23027	77093
69	23398	76880
70	23795	76747
71	24208	76660
72	24612	76535
73	25015	76397
74	25340	76021
75	25626	75529
76	25944	75138
77	26260	74740
78	26561	74305
79	26852	73844
80	27196	73531
81	27546	73232
82	27841	72790
83	28140	72361
84	28446	71953
85	28779	71615
86	29089	71219
87	29424	70885
88	29718	70457
89	30026	70061
90	30322	69642
91	30622	69234
92	31112	69250
93	31429	68878
94	31882	68798
95	32311	68662
96	32597	68219
97	32972	67964
98	33223	67454
99	33494	66989
100	33752	66502
101	34055	66107
102	34391	65778
103	34654	65309
104	34935	64880
105	35256	64526
106	35533	64093
107	35837	63711
108	36114	63283
109	36409	62889
110	36686	62466
111	36972	62060
112	37250	61644
113	37520	61217
114	37819	60840
115	38187	60573
116	38492	60205
117	38785	59821
118	39128	59514
119	39413	59120
120	39752	58807
121	40062	58451
122	40361	58080
123	40647	57693
124	40926	57296
125	41211	56911
126	41510	56546
127	41830	56209
128	42145	55867
129	42411	55461
130	42697	55083
131	42990	54714
132	43326	54402
133	43578	53985
134	43871	53620
135	44235	53342
136	44486	52929
137	44767	52553
138	45097	52234
139	45367	51848
140	45652	51480
141	45972	51152
142	46290	50822
143	46600	50483
144	46873	50106
145	47243	49831
146	47504	49443
147	47800	49092
148	48114	48760
149	48392	48392
150	48693	48048
151	48992	47702
152	49303	47369
153	49732	47149
154	50115	46882
155	50432	46552
156	50881	46344
157	51189	46006
158	51531	45697
159	51784	45311
160	52112	44991
161	52374	44615
162	52657	44258
163	52952	43911
164	53249	43567
165	53584	43255
166	53853	42889
167	54120	42523
168	54414	42179
169	54713	41840
170	54998	41489
171	55292	41147
172	55537	40770
173	55828	40427
174	56191	40136
175	56500	39806
176	56761	39444
177	57017	39079
178	57305	38737
179	57589	38392
180	57893	38062
181	58193	37729
182	58510	37408
183	58803	37071
184	59119	36749
185	59399	36406
186	59717	36086
187	60046	35772
188	60355	35447
189	60623	35097
190	60937	34776
191	61308	34486
192	61662	34185
193	61998	33875
194	62306	33549
195	62600	33216
196	62904	32888
197	63221	32568
198	63491	32224
199	63751	31875
200	64027	31535
201	64308	31199
202	64585	30860
203	64840	30513
204	65132	30183
205	65431	29857
206	65758	29543
207	66058	29218
208	66340	28885
209	66605	28545
210	66870	28206
211	67174	27883
212	67445	27548
213	67750	27226
214	68052	26904
215	68365	26586
216	68621	26246
217	68917	25923
218	69211	25598
219	69484	25267
220	69781	24944
221	70052	24613
222	70319	24280
223	70628	23963
224	70946	23648
225	71247	23328
226	71547	23008
227	71835	22684
228	72188	22381
229	72484	22060
230	72795	21744
231	73192	21453
232	73504	21136
233	73847	20828
234	74174	20516
235	74538	20213
236	74812	19886
237	75139	19574
238	75453	19257
239	75811	18952
240	76182	18650
241	76544	18345
242	76820	18019
243	77105	17696
244	77378	17370
245	77673	17050
246	77993	16735
247	78293	16416
248	78573	16093
249	78827	15765
250	79122	15446
251	79376	15119
252	79678	14801
253	79998	14487
254	80286	14168
255	80546	13843
256	80836	13525
257	81143	13209
258	81423	12889
259	81714	12571
260	81967	12248
261	82235	11927
262	82560	11614
263	83078	11328
264	83403	11015
265	83701	10698
266	84183	10404
267	84579	10099
268	84988	9794
269	85404	9489
270	85778	9179
271	86073	8860
272	86319	8537
273	86574	8215
274	86868	7897
275	87137	7577
276	87430	7259
277	87701	6940
278	87972	6621
279	88274	6305
280	88572	5988
281	88888	5673
282	89172	5356
283	89573	5046
284	89870	4730
285	90136	4412
286	90426	4095
287	90698	3779
288	90967	3462
289	91243	3146
290	91523	2830
291	91839	2516
292	92139	2201
293	92394	1885
294	92655	1570
295	92932	1255
296	93215	941
297	93503	627
298	93742	313
299	94014	0
