iter	RMSE
0	8.980272445
1	8.794949851
2	8.607712691
3	8.443271621
4	8.279392084
5	8.115531256
6	7.956504122
7	7.802150304
8	7.648060923
9	7.48926139
10	7.358243794
11	7.236060947
12	7.101588706
13	6.959945792
14	6.844975154
15	6.707277707
16	6.596807245
17	6.47506523
18	6.363283777
19	6.246216718
20	6.146001669
21	6.045863517
22	5.951729659
23	5.860608192
24	5.765503842
25	5.671025795
26	5.586775806
27	5.499494911
28	5.412338521
29	5.323816351
30	5.242011863
31	5.166239718
32	5.103794232
33	5.036153122
34	4.968038307
35	4.899573415
36	4.83712151
37	4.76894388
38	4.701821572
39	4.639474044
40	4.581981304
41	4.518965378
42	4.469956028
43	4.409446674
44	4.364523006
45	4.313420374
46	4.266091676
47	4.220586388
48	4.185196138
49	4.145230191
50	4.0931311
51	4.052569976
52	4.0078344
53	3.976256873
54	3.938124996
55	3.900457779
56	3.865608147
57	3.828521587
58	3.799379102
59	3.764591843
60	3.72140728
61	3.686810725
62	3.660001483
63	3.631929415
64	3.600065259
65	3.569391992
66	3.536852347
67	3.512695159
68	3.484571338
69	3.454359922
70	3.424586013
71	3.394598425
72	3.363242605
73	3.334869309
74	3.309911569
75	3.28428682
76	3.261334812
77	3.241035791
78	3.224331381
79	3.20872655
80	3.181092551
81	3.158876276
82	3.138532985
83	3.121703246
84	3.107069124
85	3.08915488
86	3.068547561
87	3.04145866
88	3.018545101
89	3.00038304
90	2.979963379
91	2.965399113
92	2.950807575
93	2.929784006
94	2.914213572
95	2.900210985
96	2.885146013
97	2.872186642
98	2.856756365
99	2.846533191
100	2.828662104
101	2.813480848
102	2.800041041
103	2.787767737
104	2.775091298
105	2.760075718
106	2.745064384
107	2.736210943
108	2.725952989
109	2.716211041
110	2.704574356
111	2.693019202
112	2.682853385
113	2.668508142
114	2.66178106
115	2.65441345
116	2.643377364
117	2.631332701
118	2.618133809
119	2.607926653
120	2.597271658
121	2.589608092
122	2.582978302
123	2.575041612
124	2.564727904
125	2.551406084
126	2.541190199
127	2.533724311
128	2.524059792
129	2.513542789
130	2.506209674
131	2.49765888
132	2.488493968
133	2.481735621
134	2.47558416
135	2.46841745
136	2.461756049
137	2.452173328
138	2.444775011
139	2.43689152
140	2.430371584
141	2.422014402
142	2.415283863
143	2.405994893
144	2.397001819
145	2.387931015
146	2.38032026
147	2.37430533
148	2.365227706
149	2.361087056
150	2.352650736
151	2.34597901
152	2.334957621
153	2.329260943
154	2.322860022
155	2.31389104
156	2.307697018
157	2.29896507
158	2.292593667
159	2.286997826
160	2.281847566
161	2.277299096
162	2.27332819
163	2.268811263
164	2.260082775
165	2.253098149
166	2.246581413
167	2.239515314
168	2.232955592
169	2.227603329
170	2.223743989
171	2.216307004
172	2.212078993
173	2.205283872
174	2.201432794
175	2.193851245
176	2.185887789
177	2.179135132
178	2.175427817
179	2.172246788
180	2.166111115
181	2.16074108
182	2.155449965
183	2.150908214
184	2.144272647
185	2.139834208
186	2.131220857
187	2.125743607
188	2.11845273
189	2.113830242
190	2.108881488
191	2.104742873
192	2.100416372
193	2.097148317
194	2.089897527
195	2.084261041
196	2.080229107
197	2.075874496
198	2.071675381
199	2.066477633
200	2.059037621
201	2.054569153
202	2.04791412
203	2.042388914
204	2.03658324
205	2.030596881
206	2.024128318
207	2.019094816
208	2.014627404
209	2.008536317
210	2.005567409
211	2.000161357
212	1.995211401
213	1.992223163
214	1.986453592
215	1.982149881
216	1.97655677
217	1.973613343
218	1.967014779
219	1.962236453
220	1.957444327
221	1.953148476
222	1.951531375
223	1.946956125
224	1.942098777
225	1.937304414
226	1.932734175
227	1.927733453
228	1.924340385
229	1.919373789
230	1.917466694
231	1.912947683
232	1.909040239
233	1.903623609
234	1.900309967
235	1.894958075
236	1.891101431
237	1.885951619
238	1.883458269
239	1.880971398
240	1.876902671
241	1.873728926
242	1.869534485
243	1.863890078
244	1.858728335
245	1.855980012
246	1.851033992
247	1.847066013
248	1.843120237
249	1.839186772
250	1.835207606
251	1.828931989
252	1.821144825
253	1.819094312
254	1.8133278
255	1.809627399
256	1.806644257
257	1.801091483
258	1.796767772
259	1.791781316
260	1.790163487
261	1.78863094
262	1.78627415
263	1.782139565
264	1.778552688
265	1.775889877
266	1.771706264
267	1.76768055
268	1.765777417
269	1.760728507
270	1.756245565
271	1.751182918
272	1.748988992
273	1.745410112
274	1.740638262
275	1.737961489
276	1.733687562
277	1.730589854
278	1.726707171
279	1.72231554
280	1.717642537
281	1.715359053
282	1.711767182
283	1.708005197
284	1.704430362
285	1.70197546
286	1.698856929
287	1.695973489
288	1.694841098
289	1.691580668
290	1.687912725
291	1.683235663
292	1.681780273
293	1.678214475
294	1.67584826
295	1.674389666
296	1.67341868
297	1.669023519
298	1.666790495
299	1.664908565
300	1.660153469
301	1.656713899
302	1.654240762
303	1.651328884
304	1.646538823
305	1.645094211
306	1.639858128
307	1.635451107
308	1.632761625
309	1.628141969
310	1.627080101
311	1.623402238
312	1.620311099
313	1.617175329
314	1.614364779
315	1.610960946
316	1.608153849
317	1.60652532
318	1.602726975
319	1.599590372
320	1.596729097
321	1.594741957
322	1.591655892
323	1.588885959
324	1.584194987
325	1.582211158
326	1.578917888
327	1.57450378
328	1.57158687
329	1.569083101
330	1.565493621
331	1.561210819
332	1.560268043
333	1.557957328
334	1.555084287
335	1.553808019
336	1.550187656
337	1.546548998
338	1.543200406
339	1.539731614
340	1.536004701
341	1.532499093
342	1.530497972
343	1.527111745
344	1.523627431
345	1.520845036
346	1.519963576
347	1.518579936
348	1.515451026
349	1.512017386
350	1.510070838
351	1.506644812
352	1.505764506
353	1.502956701
354	1.501356946
355	1.498771611
356	1.496253878
357	1.492690686
358	1.490695926
359	1.488260134
360	1.486016548
361	1.483014048
362	1.480317275
363	1.477212318
364	1.473502908
365	1.46992535
366	1.465806214
367	1.463260983
368	1.461923757
369	1.459417706
370	1.455869602
371	1.451328401
372	1.448996101
373	1.446508054
374	1.44411233
375	1.440903428
376	1.438218906
377	1.436583297
378	1.434206934
379	1.431792709
380	1.428836534
381	1.427675788
382	1.427243272
383	1.423624417
384	1.420645026
385	1.418599379
386	1.415494861
387	1.412851036
388	1.410667153
389	1.410296515
390	1.407194039
391	1.404486844
392	1.400933821
393	1.398364941
394	1.395213877
395	1.392334978
396	1.390227115
397	1.38658577
398	1.384323219
399	1.381244001
400	1.379272665
401	1.376982584
402	1.375149719
403	1.372555572
404	1.36985265
405	1.369215242
406	1.367793964
407	1.367228831
408	1.366957975
409	1.363683194
410	1.361628844
411	1.359225194
412	1.356758897
413	1.354090808
414	1.352811937
415	1.349980795
416	1.347048271
417	1.346655446
418	1.345144446
419	1.344623561
420	1.341798976
421	1.338605947
422	1.335061959
423	1.33454252
424	1.332999649
425	1.33076198
426	1.330272149
427	1.328060535
428	1.327692491
429	1.325136116
430	1.323552104
431	1.32239723
432	1.320097311
433	1.318019547
434	1.3163002
435	1.314720013
436	1.312114122
437	1.309253949
438	1.307248068
439	1.305368045
440	1.303223749
441	1.301265501
442	1.300154038
443	1.298899204
444	1.298161247
445	1.295458477
446	1.292709045
447	1.292411663
448	1.290884753
449	1.289984902
450	1.287676216
451	1.284903225
452	1.281727789
453	1.278837893
454	1.276594639
455	1.273100951
456	1.27127217
457	1.268995194
458	1.268780229
459	1.268366332
460	1.26630039
461	1.264021886
462	1.261401929
463	1.258345034
464	1.257171136
465	1.256621043
466	1.254063908
467	1.252249028
468	1.25003337
469	1.24712092
470	1.245063728
471	1.243080135
472	1.241113144
473	1.239637536
474	1.237582721
475	1.235628135
476	1.233232897
477	1.230407977
478	1.227120118
479	1.226744985
480	1.22351251
481	1.223148353
482	1.222815567
483	1.220935861
484	1.217547832
485	1.215610134
486	1.212879149
487	1.211407462
488	1.208903643
489	1.205356547
490	1.202554304
491	1.200798034
492	1.200098835
493	1.197236995
494	1.195627167
495	1.193782615
496	1.193319399
497	1.190806861
498	1.188492554
499	1.186773444
500	1.184342091
501	1.182291881
502	1.180118058
503	1.179605162
504	1.177430583
505	1.17534617
506	1.173177836
507	1.171425233
508	1.170656911
509	1.169028755
510	1.166816633
511	1.165040064
512	1.163329365
513	1.162362421
514	1.161242745
515	1.160090814
516	1.158528525
517	1.155169984
518	1.154173703
519	1.152635388
520	1.150341941
521	1.150134998
522	1.14873906
523	1.147481895
524	1.145076832
525	1.144901602
526	1.143080673
527	1.140680526
528	1.13864673
529	1.137805287
530	1.135849904
531	1.135686316
532	1.135438762
533	1.133870215
534	1.132040788
535	1.129021443
536	1.127604218
537	1.126793693
538	1.124630009
539	1.122645804
540	1.121332645
541	1.120087984
542	1.118582284
543	1.11677081
544	1.115032644
545	1.11479823
546	1.113666511
547	1.111145832
548	1.10932499
549	1.106144323
550	1.103259405
551	1.102624102
552	1.101027219
553	1.100430659
554	1.098096452
555	1.095393182
556	1.09278981
557	1.090785055
558	1.089976789
559	1.088387263
560	1.087755739
561	1.085586902
562	1.08452215
563	1.082212144
564	1.080855468
565	1.079564445
566	1.077504393
567	1.075908288
568	1.074148205
569	1.073144667
570	1.070820466
571	1.069247023
572	1.067289273
573	1.067108275
574	1.066523745
575	1.064337915
576	1.063154165
577	1.062460786
578	1.0612961
579	1.061090506
580	1.0609227
581	1.060764395
582	1.058727209
583	1.057107472
584	1.055798565
585	1.054875432
586	1.051949431
587	1.050794352
588	1.050029762
589	1.04758204
590	1.045647167
591	1.044078155
592	1.043849382
593	1.04242659
594	1.041075539
