iter	Passed	Remaining
0	2	2932
1	5	2787
2	8	2862
3	10	2578
4	12	2466
5	14	2398
6	16	2311
7	18	2239
8	19	2171
9	22	2194
10	24	2224
11	26	2180
12	28	2128
13	29	2093
14	31	2085
15	33	2051
16	34	2010
17	36	2000
18	38	1986
19	39	1956
20	41	1933
21	42	1909
22	44	1884
23	45	1859
24	47	1840
25	48	1821
26	49	1800
27	51	1792
28	53	1775
29	54	1760
30	55	1745
31	57	1733
32	58	1718
33	60	1705
34	61	1696
35	62	1684
36	64	1674
37	65	1663
38	67	1654
39	68	1646
40	69	1636
41	71	1626
42	72	1617
43	74	1608
44	75	1601
45	76	1594
46	78	1586
47	79	1578
48	80	1571
49	82	1563
50	83	1557
51	85	1553
52	86	1548
53	88	1541
54	89	1535
55	90	1531
56	92	1523
57	93	1516
58	94	1509
59	95	1502
60	97	1495
61	98	1489
62	99	1483
63	101	1477
64	102	1471
65	103	1467
66	105	1475
67	107	1470
68	108	1464
69	110	1464
70	111	1460
71	113	1459
72	114	1454
73	115	1449
74	117	1444
75	118	1439
76	119	1437
77	121	1432
78	122	1427
79	123	1423
80	125	1418
81	126	1415
82	127	1411
83	129	1407
84	130	1403
85	131	1398
86	132	1394
87	134	1391
88	135	1387
89	136	1383
90	138	1379
91	139	1375
92	140	1371
93	141	1367
94	143	1363
95	144	1359
96	145	1356
97	146	1352
98	148	1348
99	149	1346
100	150	1342
101	152	1339
102	153	1335
103	154	1332
104	155	1329
105	157	1326
106	158	1323
107	159	1320
108	161	1316
109	162	1313
110	163	1311
111	165	1308
112	166	1305
113	167	1302
114	168	1299
115	170	1296
116	171	1293
117	172	1290
118	174	1288
119	175	1286
120	176	1283
121	177	1280
122	179	1279
123	180	1277
124	182	1274
125	183	1272
126	184	1269
127	185	1266
128	187	1263
129	188	1261
130	189	1258
131	191	1256
132	192	1253
133	193	1253
134	195	1250
135	196	1248
136	197	1245
137	208	1305
138	211	1308
139	213	1311
140	215	1313
141	216	1310
142	218	1307
143	219	1304
144	220	1302
145	222	1298
146	223	1296
147	224	1293
148	226	1292
149	227	1289
150	228	1286
151	230	1284
152	231	1281
153	232	1278
154	234	1275
155	235	1273
156	236	1271
157	238	1269
158	239	1267
159	241	1265
160	242	1263
161	243	1261
162	245	1259
163	246	1257
164	247	1254
165	249	1251
166	250	1249
167	251	1246
168	253	1244
169	254	1242
170	255	1239
171	257	1237
172	258	1235
173	259	1232
174	260	1230
175	262	1227
176	263	1225
177	264	1222
178	266	1220
179	267	1217
180	268	1216
181	270	1215
182	272	1216
183	274	1215
184	275	1214
185	277	1212
186	278	1210
187	279	1208
188	281	1206
189	282	1204
190	283	1202
191	285	1200
192	286	1198
193	287	1196
194	289	1193
195	290	1191
196	291	1188
197	292	1186
198	294	1184
199	295	1182
200	296	1179
201	298	1177
202	299	1175
203	300	1173
204	302	1171
205	303	1169
206	304	1166
207	306	1165
208	307	1163
209	308	1161
210	309	1159
211	311	1157
212	312	1154
213	313	1152
214	315	1150
215	316	1148
216	317	1145
217	318	1143
218	320	1141
219	321	1139
220	322	1137
221	324	1135
222	325	1133
223	326	1131
224	328	1131
225	329	1129
226	330	1126
227	332	1124
228	333	1122
229	334	1120
230	335	1118
231	337	1116
232	338	1114
233	339	1112
234	340	1110
235	342	1108
236	343	1106
237	344	1103
238	346	1101
239	347	1099
240	348	1098
241	349	1096
242	351	1094
243	352	1092
244	353	1090
245	355	1088
246	356	1086
247	358	1085
248	359	1083
249	360	1081
250	361	1079
251	363	1077
252	364	1075
253	365	1073
254	366	1071
255	368	1070
256	369	1068
257	370	1066
258	372	1064
259	373	1062
260	374	1060
261	375	1058
262	377	1057
263	378	1055
264	379	1053
265	380	1051
266	382	1049
267	383	1047
268	384	1045
269	386	1044
270	387	1042
271	388	1040
272	390	1039
273	391	1037
274	392	1035
275	393	1033
276	395	1031
277	396	1029
278	397	1028
279	399	1026
280	400	1024
281	401	1022
282	403	1021
283	404	1019
284	405	1017
285	407	1016
286	408	1014
