iter	Logloss	Accuracy
0	0.6328338697	0.7847861397
1	0.5914931569	0.7856962829
2	0.5628359141	0.7859156507
3	0.5423921585	0.7857756287
4	0.5279962416	0.7860510054
5	0.51796093	0.7859343203
6	0.5101337381	0.7859553236
7	0.5041067328	0.7864594029
8	0.4998951303	0.7863987267
9	0.4959538159	0.7866951067
10	0.4930011851	0.7866577675
11	0.4907475662	0.7865620858
12	0.4885786847	0.7873905494
13	0.4867584408	0.7878409536
14	0.4854844788	0.787885294
15	0.4841142999	0.7884080429
16	0.482024992	0.7898199317
17	0.4806880204	0.7899902918
18	0.4795106832	0.7901373149
19	0.4783308767	0.7908140881
20	0.4772911773	0.7911571421
21	0.4759598902	0.7914488546
22	0.4748585001	0.7916985606
23	0.4742316498	0.7918852566
24	0.4735299582	0.7921886377
25	0.4725961226	0.7926133712
26	0.4717902107	0.7928677445
27	0.4711751313	0.7932784758
28	0.4707140754	0.7936168624
29	0.4701246234	0.7938712357
30	0.4695931511	0.7941489461
31	0.4689692884	0.7945130034
32	0.4682077494	0.7947533745
33	0.467741013	0.7949307358
34	0.4670253385	0.7954161455
35	0.4661128973	0.7960765827
36	0.4653378989	0.7963589605
37	0.4648036829	0.7966856785
38	0.4639619494	0.797133749
39	0.4634315008	0.7974604671
40	0.4627465	0.7978571962
41	0.4622881612	0.79802989
42	0.4615599353	0.7985269682
43	0.4611300485	0.7986739914
44	0.4600905092	0.7989003603
45	0.4596922081	0.7990567183
46	0.4592483478	0.7992084088
47	0.458816771	0.7994837854
48	0.4583384431	0.7997871665
49	0.4579969516	0.7999691952
50	0.4572388875	0.8001208857
51	0.4565803373	0.8004266005
52	0.4561611103	0.8005502866
53	0.4558403422	0.8007019771
54	0.4554683876	0.801014693
55	0.4550419005	0.8012667326
56	0.4544868484	0.8016447921
57	0.454158409	0.8017754793
58	0.4535086606	0.8020298527
59	0.4531324824	0.8023449023
60	0.4528393793	0.8024522525
61	0.4523500139	0.8028233109
62	0.4521054871	0.8029726677
63	0.4517277729	0.8030963538
64	0.4513800394	0.8033157217
65	0.4508720612	0.8035374232
66	0.4504220087	0.8037217856
67	0.4500625927	0.8039294849
68	0.449729761	0.8041418517
69	0.4488676813	0.8049073054
70	0.4486081957	0.8050263241
71	0.4481866473	0.8052176876
72	0.4479160213	0.8053577096
73	0.4475705972	0.8055677427
74	0.447258471	0.8057381028
75	0.4470176305	0.8057964453
76	0.4463166262	0.8063565334
77	0.4460458249	0.8064918881
78	0.4446842312	0.8074417042
79	0.4444031144	0.8075607229
80	0.444159998	0.8076424024
81	0.4436467235	0.8080157945
82	0.4432695272	0.8082281612
83	0.4430027171	0.8083985214
84	0.4425491684	0.8086692306
85	0.4422564918	0.8087415753
86	0.4418032144	0.8089329388
87	0.4416124583	0.8089959487
88	0.4413281394	0.8091966469
89	0.4409960046	0.8093296679
90	0.4405039042	0.8094836921
91	0.4402269833	0.809773071
92	0.4399512801	0.8099457648
93	0.439783477	0.8100577824
94	0.4395929102	0.8101954708
95	0.4393717178	0.8103168232
96	0.4391962167	0.8103681646
97	0.4389344931	0.8104848496
98	0.4386989445	0.8105175214
99	0.4384189876	0.8106995501
100	0.4380493712	0.8109539234
101	0.4375552615	0.8112339675
102	0.437205703	0.8114113287
103	0.436949881	0.8116190281
104	0.4367309007	0.8117893882
105	0.436454242	0.81182206
106	0.436210672	0.8118570655
107	0.4352500801	0.8126411889
108	0.435046063	0.8127858783
109	0.4345078028	0.8130705898
110	0.4341102096	0.8132036107
111	0.4331480628	0.8140087374
112	0.4322720918	0.8145548233
113	0.431577884	0.8147508541
114	0.4313490351	0.8148255326
115	0.4310996467	0.8149188806
116	0.4309168993	0.8150565689
117	0.4306291829	0.8153039412
118	0.4303329506	0.815499972
119	0.4300367594	0.8156376603
120	0.4296237365	0.8159037022
121	0.4293694645	0.8160810634
122	0.4290532983	0.816232754
123	0.4283702041	0.8163564401
124	0.4275867452	0.8170005414
125	0.4272151688	0.8171919049
126	0.4267389272	0.8173202584
127	0.4265917812	0.8174719489
128	0.4262447759	0.8176213058
129	0.4260867609	0.8176679798
130	0.4258472608	0.8178150029
131	0.4251373071	0.8182444038
132	0.4243324113	0.8185711219
133	0.424139736	0.8186621362
134	0.4238832213	0.8187274798
135	0.4236857174	0.8188745029
136	0.4223482819	0.8191335437
137	0.4220009328	0.8193482441
138	0.421837494	0.8194415921
139	0.4216696656	0.8194719303
140	0.4214991541	0.8196026175
141	0.4209351034	0.8199410041
142	0.4206719157	0.8201020294
143	0.4205583329	0.8201487034
144	0.4203766823	0.8202583873
145	0.4201758276	0.8203750723
146	0.4199187649	0.8205734369
147	0.4186308299	0.8208021395
148	0.4184353554	0.8209678323
149	0.4182748968	0.8210705151
150	0.4180301909	0.8211708642
151	0.4177843322	0.8212782144
152	0.4175753578	0.8213622277
153	0.4173926107	0.8213995669
154	0.417211946	0.8215139182
155	0.416704175	0.8219153147
156	0.4165266035	0.8219526539
157	0.4163056782	0.8220670052
158	0.4162009005	0.8221323488
159	0.4157136124	0.8221766891
160	0.4153919613	0.8222653698
161	0.4146992602	0.8224637343
162	0.4144702699	0.8225757519
163	0.414334044	0.8226504303
164	0.4142141074	0.822722775
165	0.4140273389	0.8227601143
166	0.4138644148	0.8228511286
167	0.4137205983	0.8229818158
168	0.4136269153	0.8230704964
169	0.4134745276	0.8231241715
170	0.4132898369	0.8232478577
171	0.4130245738	0.8233878797
172	0.4128242331	0.8234858951
173	0.4126690739	0.8235652409
174	0.4125380186	0.8236072475
175	0.4123534276	0.823705263
176	0.4121987344	0.8238032784
177	0.412045346	0.8238779568
178	0.4115462815	0.8240903235
179	0.4113084441	0.8242280119
180	0.4111336111	0.8242373467
181	0.4102654814	0.8249094524
182	0.4101311439	0.8250168026
183	0.4099674578	0.8250051341
184	0.409766472	0.8250891474
185	0.409653781	0.8251801617
186	0.4094464405	0.825294513
187	0.4091492006	0.8254508709
188	0.4088871964	0.8255138809
189	0.4086920896	0.8256585703
190	0.4082925935	0.825917611
191	0.4081000025	0.8260132928
192	0.406863096	0.8265290406
193	0.4067238727	0.8265150384
194	0.4065815017	0.8266130538
195	0.4064069399	0.8267157366
196	0.4062527483	0.8267647443
197	0.4055712768	0.8270494558
198	0.4054759293	0.8270961298
199	0.405247061	0.8271894778
200	0.4049202832	0.8273715065
201	0.4046588282	0.827383175
202	0.404540962	0.8274555197
203	0.4039227854	0.8276212124
204	0.4037426576	0.8276912234
205	0.4035227033	0.8278079084
206	0.4029509997	0.8278965891
207	0.4028533792	0.8279969382
208	0.4026543959	0.8280716166
209	0.4023851451	0.8281906353
210	0.4022103888	0.8282443104
211	0.4014195469	0.8288067323
212	0.4012140768	0.8289070814
213	0.4010518169	0.8289747587
214	0.4008530407	0.8290587719
215	0.4007162763	0.8291147807
