iter	Passed	Remaining
0	983	294072
1	1809	269557
2	2766	273897
3	3555	263143
4	4386	258812
5	5217	255654
6	6217	260234
7	7073	258185
8	7937	256635
9	8981	260451
10	9931	260925
11	10997	263937
12	11851	261639
13	12673	258907
14	13779	261809
15	14884	264200
16	15897	264643
17	16961	265730
18	17829	263690
19	18873	264234
20	20213	268549
21	21638	273428
22	23761	286176
23	25340	291421
24	26742	294172
25	27914	294177
26	29197	295218
27	30154	292929
28	31283	292336
29	32423	291811
30	33669	292166
31	34802	291466
32	35952	290887
33	37027	289687
34	38011	287802
35	39328	288406
36	40338	286730
37	41599	286815
38	42796	286404
39	43767	284489
40	45040	284524
41	46181	283684
42	47086	281421
43	47915	278781
44	48875	276963
45	49740	274654
46	50613	272452
47	51414	269926
48	52225	267524
49	53230	266152
50	54291	265070
51	55568	265020
52	56676	264134
53	57589	262353
54	58402	260156
55	59336	258537
56	60292	257034
57	61367	256049
58	62292	254449
59	63221	252884
60	64206	251564
61	65114	249955
62	65904	247925
63	66901	246700
64	67968	245730
65	68928	244381
66	69923	243165
67	70869	241790
68	71921	240781
69	72981	239795
70	73928	238445
71	74884	237135
72	75846	235852
73	76973	235081
74	77905	233717
75	78843	232382
76	79965	231587
77	80896	230244
78	81934	229209
79	82891	227951
80	84142	227497
81	85212	226540
82	86302	225633
83	87197	224222
84	88079	222790
85	89165	221877
86	90187	220804
87	91210	219735
88	92137	218438
89	93285	217665
90	94342	216676
91	95200	215235
92	96143	213995
93	97124	212846
94	97976	211422
95	98926	210217
96	99944	209161
97	100985	208153
98	101956	207002
99	102872	205744
100	103843	204601
101	104840	203513
102	105804	202364
103	106699	201087
104	107746	200100
105	108698	198938
106	109636	197756
107	110705	196810
108	111608	195570
109	112624	194532
110	113673	193552
111	114745	192608
112	115845	191708
113	117233	191275
114	118237	190207
115	119430	189441
116	120412	188337
117	121497	187394
118	122623	186511
119	123573	185360
120	124628	184367
121	125748	183469
122	126840	182526
123	127904	181542
124	129009	180612
125	130012	179541
126	131171	178681
127	132066	177463
128	133112	176451
129	134099	175360
130	135128	174325
131	136226	173378
132	137378	172497
133	138352	171392
134	139179	170107
135	139848	168641
136	140812	167535
137	141983	166676
138	142928	165549
139	143953	164518
140	144958	163463
141	146053	162510
142	147326	161750
143	148344	160706
144	149432	159737
145	150250	158483
146	151222	157395
147	152456	156576
148	153508	155568
149	154363	154363
150	155582	153521
151	156555	152435
152	157683	151499
153	158635	150395
154	159412	149127
155	160551	148201
156	161542	147137
157	162456	146004
158	163625	145101
159	164977	144354
160	166081	143387
161	167227	142453
162	168383	141525
163	169349	140435
164	170184	139241
165	171147	138155
166	172052	137024
167	172975	135909
168	174149	134991
169	175137	133928
170	176206	132927
171	177275	131926
172	178372	130944
173	179384	129899
174	180425	128875
175	181719	128029
176	182738	126987
177	183814	125985
178	184908	124994
179	185883	123922
180	187022	122959
181	188168	121999
182	189256	121000
183	190321	119985
184	191304	118919
185	192176	117785
186	193098	116685
187	194019	115585
188	194866	114445
189	196036	113494
190	197392	112648
191	198702	111770
192	200368	111084
193	201544	110122
194	202796	109197
195	204009	108249
196	205003	107184
197	206177	106212
198	207151	105136
199	208063	104031
200	209091	102985
201	209914	101839
202	210914	100781
203	212046	99786
204	212986	98700
205	213817	97567
206	214833	96519
207	215728	95418
208	216582	94301
209	217474	93203
210	218348	92099
211	219352	91052
212	220176	89931
213	221123	88862
214	221898	87727
215	222814	86650
216	223720	85570
217	224487	84440
218	225427	83377
219	226272	82280
220	227122	81188
221	228206	80180
222	229200	79141
223	230100	78069
224	231103	77034
225	231979	75957
226	232884	74892
227	234089	73923
228	235142	72904
229	236197	71886
230	237265	70871
231	238483	69900
232	239529	68877
233	240619	67867
234	241581	66820
235	242614	65793
236	243830	64815
237	244852	63785
238	245728	62717
239	246822	61705
240	247803	60665
241	248787	59626
242	249865	58610
243	250832	57568
244	251811	56529
245	252793	55491
246	253752	54449
247	254470	53356
248	255454	52322
249	256344	51268
250	257016	50174
251	257833	49111
252	258724	48063
253	259572	47009
254	260693	46004
255	261687	44977
256	262563	43930
257	263746	42935
258	264647	41894
259	265422	40834
260	266427	39811
261	267449	38790
262	268369	37755
263	268987	36680
264	269924	35650
265	270801	34613
266	271669	33577
267	272578	32546
268	273365	31503
269	274230	30470
270	275238	29453
271	276024	28414
272	277033	27398
273	277980	26377
274	278830	25348
275	279596	24312
276	280355	23278
277	281332	22263
278	282146	21236
279	283166	20226
280	284306	19223
281	285199	18204
282	286129	17187
283	287014	16169
284	287875	15151
285	288562	14125
286	289552	13115
287	290355	12098
288	291271	11086
289	292262	10078
290	293098	9064
291	294185	8059
292	295150	7051
293	296072	6042
294	296807	5030
295	297893	4025
296	298825	3018
297	299798	2012
298	300850	1006
299	301715	0
